origins,destinations,durations,departure_times,distance
"1290 St Nicholas Ave, New York, NY 10033, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 36 mins,1611585000,21.2 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",46 mins,1611585000,11.5 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",1 hour 59 mins,1611585000,26.1 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 54 mins,1611585000,22.3 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 29 mins,1611585000,19.4 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",2 hours 0 mins,1611585000,14.3 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 16 mins,1611585000,13.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",1 hour 0 mins,1611586800,8.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","9525 Church Ave, Brooklyn, NY 11212, USA",22 mins,1611586800,2.2 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",50 mins,1611586800,6.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","134 Springfield Blvd, St. Albans, NY 11413, USA",1 hour 40 mins,1611586800,13.7 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","47-01 Queens Blvd, Sunnyside, NY 11104, USA",1 hour 19 mins,1611586800,13.1 mi
"108-35 167th St, Jamaica, NY 11433, USA","115-20 Liberty Ave, Jamaica, NY 11419, USA",31 mins,1611586800,2.7 mi
"108-35 167th St, Jamaica, NY 11433, USA","9525 Church Ave, Brooklyn, NY 11212, USA",1 hour 15 mins,1611586800,10.1 mi
"108-35 167th St, Jamaica, NY 11433, USA","341 Eastern Pkwy, Brooklyn, NY 11216, USA",1 hour 25 mins,1611586800,20.7 mi
