origins,destinations,durations,departure_times,distance
"102-29 215th St, Jamaica, NY 11429, USA","525 E 68th St, New York, NY 10065, USA",1 hour 21 mins,1611583200,14.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 36 mins,1611583200,20.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 44 mins,1611583200,22.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","234 E 149th St, The Bronx, NY 10451, USA",35 mins,1611583200,2.9 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","462 1st Avenue, New York, NY 10016, USA",54 mins,1611583200,8.6 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","525 E 68th St, New York, NY 10065, USA",49 mins,1611583200,10.0 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",28 mins,1611583200,4.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1051 Riverside Dr, New York, NY 10032, USA",15 mins,1611583200,0.9 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","234 E 149th St, The Bronx, NY 10451, USA",58 mins,1611583200,6.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 23 mins,1611583200,12.6 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","525 E 68th St, New York, NY 10065, USA",1 hour 16 mins,1611583200,10.7 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 12 mins,1611583200,6.9 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 24 mins,1611583200,8.8 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 33 mins,1611585000,18.7 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 11 mins,1611585000,11.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","525 E 68th St, New York, NY 10065, USA",1 hour 23 mins,1611585000,14.1 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 43 mins,1611585000,20.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 35 mins,1611585000,19.9 mi
"108-35 167th St, Jamaica, NY 11433, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 18 mins,1611585000,16.8 mi
"108-35 167th St, Jamaica, NY 11433, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 13 mins,1611585000,13.4 mi
"108-35 167th St, Jamaica, NY 11433, USA","525 E 68th St, New York, NY 10065, USA",1 hour 6 mins,1611585000,13.4 mi
"108-35 167th St, Jamaica, NY 11433, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 23 mins,1611585000,20.5 mi
"108-35 167th St, Jamaica, NY 11433, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 23 mins,1611585000,20.1 mi
"102-29 215th St, Jamaica, NY 11429, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 28 mins,1611585000,18.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 34 mins,1611585000,17.0 mi
"102-29 215th St, Jamaica, NY 11429, USA","525 E 68th St, New York, NY 10065, USA",1 hour 19 mins,1611585000,14.8 mi
"102-29 215th St, Jamaica, NY 11429, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 36 mins,1611585000,20.7 mi
"102-29 215th St, Jamaica, NY 11429, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 46 mins,1611585000,22.4 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","234 E 149th St, The Bronx, NY 10451, USA",35 mins,1611585000,2.9 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","462 1st Avenue, New York, NY 10016, USA",53 mins,1611585000,10.3 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","525 E 68th St, New York, NY 10065, USA",50 mins,1611585000,10.0 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",32 mins,1611585000,4.5 mi
"1290 St Nicholas Ave, New York, NY 10033, USA","1051 Riverside Dr, New York, NY 10032, USA",15 mins,1611585000,0.9 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","234 E 149th St, The Bronx, NY 10451, USA",53 mins,1611585000,6.8 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 24 mins,1611585000,13.2 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","525 E 68th St, New York, NY 10065, USA",1 hour 8 mins,1611585000,10.7 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 9 mins,1611585000,10.5 mi
"2300 Randall Ave, The Bronx, NY 10473, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 24 mins,1611585000,11.9 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","234 E 149th St, The Bronx, NY 10451, USA",1 hour 28 mins,1611586800,18.0 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","462 1st Avenue, New York, NY 10016, USA",1 hour 14 mins,1611586800,15.6 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","525 E 68th St, New York, NY 10065, USA",1 hour 23 mins,1611586800,14.3 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1650 Grand Concourse, The Bronx, NY 10457, USA",1 hour 36 mins,1611586800,19.8 mi
"1500 E 92nd St, Brooklyn, NY 11236, USA","1051 Riverside Dr, New York, NY 10032, USA",1 hour 35 mins,1611586800,19.9 mi
