origins,destinations,departure_times,travel_time,departure_dt,hour,date
"1290 St Nicholas Ave, New York, NY 10033, USA","25-10 30th Ave, Queens, NY 11102, USA",1607954400,58,2020-12-14 09:00:00-05:00,9,2020-12-14
"1290 St Nicholas Ave, New York, NY 10033, USA","506 Lenox Ave, New York, NY 10037, USA",1607954400,32,2020-12-14 09:00:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607954400,44,2020-12-14 09:00:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607954400,57,2020-12-14 09:00:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607954400,79,2020-12-14 09:00:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","25-10 30th Ave, Queens, NY 11102, USA",1607954400,82,2020-12-14 09:00:00-05:00,9,2020-12-14
"2300 Randall Ave, The Bronx, NY 10473, USA","506 Lenox Ave, New York, NY 10037, USA",1607954400,62,2020-12-14 09:00:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607956200,128,2020-12-14 09:30:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607956200,124,2020-12-14 09:30:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","1447 St Nicholas Ave, New York, NY 10033, USA",1607956200,100,2020-12-14 09:30:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","25-10 30th Ave, Queens, NY 11102, USA",1607956200,89,2020-12-14 09:30:00-05:00,9,2020-12-14
"1500 E 92nd St, Brooklyn, NY 11236, USA","506 Lenox Ave, New York, NY 10037, USA",1607956200,94,2020-12-14 09:30:00-05:00,9,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","1740 Eastchester Rd, The Bronx, NY 10461, USA",1607956200,114,2020-12-14 09:30:00-05:00,9,2020-12-14
"108-35 167th St, Queens, NY 11433, USA","4422 3rd Ave., The Bronx, NY 10456, USA",1607956200,96,2020-12-14 09:30:00-05:00,9,2020-12-14
